service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,start_date_f,end_date_f
16930,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16827,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16931,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17161,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
7523,0,0,0,0,0,1,1,20150808,20211201,2015.08.08,2021.12.01
16890,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
15078,0,0,0,0,0,1,1,20190907,20211201,2019.09.07,2021.12.01
16493,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
16492,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
13559,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
13558,0,0,0,0,0,1,1,20190302,20211201,2019.03.02,2021.12.01
16860,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16859,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
11431,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16973,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
16933,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17009,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13568,1,1,1,1,1,0,0,20190304,20211201,2019.03.04,2021.12.01
16834,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16790,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17234,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16711,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16675,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16716,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16693,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16937,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16944,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16794,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17242,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17307,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16939,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16941,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
13893,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
14635,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16766,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
15315,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16734,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17085,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16742,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17073,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16764,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16743,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16903,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16499,0,0,0,0,0,1,1,20160903,20211201,2016.09.03,2021.12.01
16758,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16757,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16832,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16759,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16763,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16762,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16765,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
17752,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16775,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
15492,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16777,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16779,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16778,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16781,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16741,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16787,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16774,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
15493,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
17299,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16780,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16749,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16755,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
16748,0,0,0,0,0,1,1,20200905,20211201,2020.09.05,2021.12.01
16744,1,1,1,1,1,0,0,20200901,20211201,2020.09.01,2021.12.01
